Gender,Age,toxicity
female,55,0.0005890007596462
male,21,0.0009475039551034
male,44,0.0006812967476435
other,22,0.0101980939507484
male,35,0.001070097903721
other,24,0.005153392907232
other,22,0.0006828916375525
other,19,0.0093022882938385
male,21,0.0013483236543834
other,12,0.0011733577121049
female,38,0.0004247201723046
male,20,0.0103961210697889
other,25,0.0005412655882537
other,19,0.0004227276367601
male,46,0.00066816911567
male,21,0.000575442041736
male,12,0.00049985491205
male,23,0.0013763502938672
male,26,0.0006346003501676
male,42,0.0031339521519839
male,21,0.0037556812167167
other,38,0.0005868948646821
other,20,0.0006209748098626
other,19,0.0007548544090241
female,20,0.0022666803561151
male,40,0.0004067186964675
other,12,0.0030376908835023
other,22,0.0006735778297297
male,40,0.0005727015668526
male,21,0.0011550043709576
other,19,0.000555858889129
female,25,0.0009351755143143
other,12,0.000559460488148
female,21,0.0042019207030534
other,23,0.0025091602001339
other,17,0.0004230241174809
female,39,0.0004319947911426
male,21,0.0004090588481631
other,17,0.0004860640037804
other,25,0.0010825759964063
male,45,0.0006007979973219
other,22,0.0004025452653877
male,24,0.0102216377854347
male,52,0.001019928837195
other,19,0.0020162200089544
male,44,0.0006112870178185
other,19,0.0008125036838464
female,19,0.00097790453583
other,12,0.0150761827826499
other,28,0.0118282763287425
male,25,0.0004449356347322
male,36,0.0006459825672209
female,17,0.0010077250190079
other,20,0.0008328119874931
male,44,0.0006041313172318
male,44,0.0014755052980035
other,20,0.0005123284645378
other,34,0.010655959136784
other,23,0.0006002548034302
other,20,0.0015708751743659
other,23,0.0006450612563639
other,19,0.0017409538850188
other,25,0.0006931897369213
male,21,0.0004218064423184
male,21,0.0019850942771881
other,20,0.0180382318794727
female,21,0.0005681054317392
female,21,0.0137690510600805
other,12,0.0005597053095698
other,20,0.0026840053033083
other,37,0.0005658390000462
other,20,0.0004310085787437
other,22,0.0005796100595034
male,23,0.0008993363589979
other,13,0.0004433447902556
male,24,0.0007769298390485
other,23,0.0033440634142607
female,17,0.0007630494073964
other,19,0.000978224677965
other,20,0.001193981966935
other,23,0.0048705548979341
other,20,0.0004973215400241
other,23,0.0007873110007494
other,13,0.0008537478279322
other,19,0.0025551866274327
female,20,0.0004778436268679
other,53,0.0089076273143291
other,25,0.0016409852541983
other,23,0.0006575537263415
male,29,0.0004926017136313
other,23,0.021565955132246
other,20,0.0006465190090239
male,44,0.0007606912986375
other,19,0.0023193813394755
other,29,0.00139694835525
female,21,0.0028716144151985
male,23,0.0108261257410049
female,21,0.0008717293385416
other,56,0.001195358345285
other,20,0.0010034283623099
female,44,0.0017272596014663
other,17,0.000486619392177
male,30,0.0010408731177449
other,25,0.0012244903482496
other,21,0.0014291022671386
other,12,0.0020243234466761
other,20,0.0004651472263503
male,21,0.000883245258592
other,44,0.0012021746952086
other,19,0.0004266031610313
